timestamp,src_ip,is_attacker,predicted_anomaly,risk_level
2025-12-12 03:16:50.190683,57.144.139.32,0,0,None
2025-12-12 03:16:50.190683,172.20.10.12,0,0,None
2025-12-12 03:16:50.190683,172.20.10.1,0,0,None
2025-12-12 03:16:50.190683,172.217.170.182,0,0,None
2025-12-12 03:16:50.190683,216.239.36.223,0,0,None
2025-12-12 03:17:05.153103,172.20.10.12,0,0,None
2025-12-12 03:17:05.153103,216.239.36.223,0,0,None
2025-12-12 03:17:05.153103,57.144.139.32,0,0,None
2025-12-12 03:17:05.153103,172.217.170.202,0,0,None
2025-12-12 03:17:08.294320,172.20.10.12,0,0,None
2025-12-12 03:17:08.294320,74.125.206.81,0,0,None
2025-12-12 03:17:11.270740,216.58.223.106,0,0,None
2025-12-12 03:17:11.270740,74.125.206.81,0,0,None
2025-12-12 03:17:11.270740,172.20.10.12,0,0,None
2025-12-12 03:17:11.270740,172.217.170.206,0,0,None
2025-12-12 03:17:14.031803,172.20.10.12,0,0,None
2025-12-12 03:17:14.031803,74.125.206.81,0,0,None
2025-12-12 03:17:14.031803,140.82.112.25,0,0,None
2025-12-12 03:17:17.049630,172.20.10.12,0,0,None
2025-12-12 03:17:17.049630,74.125.206.81,0,0,None
2025-12-12 03:17:19.785336,172.20.10.12,0,0,None
2025-12-12 03:17:22.605478,172.20.10.12,0,0,None
2025-12-12 03:17:22.605478,172.217.170.164,0,0,None
2025-12-12 03:17:22.605478,140.82.113.25,0,0,None
2025-12-12 03:17:22.605478,74.125.206.81,0,0,None
2025-12-12 03:17:25.289967,74.125.206.81,0,0,None
2025-12-12 03:17:25.289967,172.20.10.12,0,0,None
2025-12-12 03:17:25.289967,216.58.223.106,0,0,None
2025-12-12 03:17:25.289967,172.217.170.202,0,0,None
2025-12-12 03:17:28.422214,74.125.206.81,0,0,None
2025-12-12 03:17:28.422214,172.20.10.12,0,0,None
2025-12-12 03:17:28.422214,172.217.170.164,0,0,None
2025-12-12 03:17:28.422214,140.82.112.25,0,0,None
2025-12-12 03:17:31.734192,34.54.84.110,0,0,None
2025-12-12 03:17:31.734192,172.20.10.12,0,0,None
2025-12-12 03:17:31.734192,74.125.206.81,0,0,None
2025-12-12 03:17:37.383650,140.82.113.25,0,0,None
2025-12-12 03:17:37.383650,172.20.10.12,0,0,None
2025-12-12 03:17:37.383650,172.217.170.206,0,0,None
2025-12-12 03:17:40.041276,172.217.170.174,0,0,None
